date,state-ids,death,hospitalized,negative,positive
2020-10-04,45,3453,9259,1226504,151582
2020-10-04,46,248,1632,175357,24418
2020-10-04,47,2577,8883,2769178,201210
2020-10-04,48,16025,,5771991,765894
2020-10-04,49,478,3980,783276,77618
2020-10-04,50,3273,18725,1970955,151870
2020-10-04,51,20,,19912,1327
2020-10-04,52,58,,164735,1785
2020-10-04,53,2142,7611,1833537,89419
2020-10-04,54,1388,7646,1465713,139928
2020-10-04,55,358,,573451,16628
2020-10-04,56,53,282,97064,6504
2020-10-03,1,58,,464069,9187
2020-10-03,2,2558,17420,1016319,158380
2020-10-03,3,1407,5527,981887,86525
2020-10-03,4,0,,1616,0
2020-10-03,5,5705,22280,1272457,220399
2020-10-03,6,16074,,14179452,819436
2020-10-03,7,1968,7653,866023,71898
2020-10-03,8,4513,11699,1618113,58297
2020-10-03,9,629,,382076,15473
2020-10-03,10,645,,271333,21125
2020-10-03,11,14803,45151,4661868,714591
2020-10-03,12,7134,28924,2679303,322078
2020-10-03,13,51,,49057,2699
2020-10-03,14,142,880,289425,12788
2020-10-03,15,1377,,692839,88470
2020-10-03,16,474,1893,275305,43238
2020-10-03,17,9023,,5534674,302827
2020-10-03,18,3669,13068,1284416,124059
2020-10-03,19,698,2983,470006,61111
2020-10-03,20,1205,5362,1371855,72001
2020-10-03,21,5545,,2188623,168826
2020-10-03,22,9507,12745,2155811,134303
2020-10-03,23,3957,15670,1522906,126819
2020-10-03,24,142,454,443822,5486
2020-10-03,25,7124,,3623003,141271
2020-10-03,26,2126,7846,1359745,102787
2020-10-03,27,2169,,1208451,131105
2020-10-03,28,2,4,15112,73
2020-10-03,29,3011,5975,638843,100167
2020-10-03,30,186,741,340427,14356
2020-10-03,31,3629,,2919380,216886
2020-10-03,32,191,912,222872,23134
2020-10-03,33,493,2379,422991,46977
2020-10-03,34,442,743,270967,8597
2020-10-03,35,16135,23511,3465498,207576
2020-10-03,36,887,3534,905401,30000
2020-10-03,37,1620,,628502,81708
2020-10-03,38,25505,89995,10646931,463360
2020-10-03,39,4925,15735,3160809,157966
2020-10-03,40,1051,6570,1157074,90748
2020-10-03,41,571,2618,667392,34511
2020-10-03,42,8199,,1904971,161284
2020-10-03,43,681,,305972,50375
2020-10-03,44,1119,2828,323368,25245
2020-10-03,45,3442,9216,1188867,150891
2020-10-03,46,248,1615,174033,23986
2020-10-03,47,2560,8859,2737367,199595
2020-10-03,48,15992,,5709929,763010
2020-10-03,49,476,3956,776455,76225
2020-10-03,50,3270,18716,1970955,150803
2020-10-03,51,20,,19685,1326
2020-10-03,52,58,,164008,1778
2020-10-03,53,2143,7586,1816949,88810
2020-10-03,54,1383,7588,1456763,138002
2020-10-03,55,357,,566237,16468
2020-10-03,56,53,281,97064,6365
2020-10-02,1,57,,460250,9040
2020-10-02,2,2550,17420,1006612,156698
2020-10-02,3,1391,5488,971951,85779
2020-10-02,4,0,,1616,0
2020-10-02,5,5693,22240,1263417,219763
2020-10-02,6,15986,,14051154,817277
2020-10-02,7,1962,7579,855990,71218
2020-10-02,8,4513,11699,1618113,58297
2020-10-02,9,629,,378695,15423
2020-10-02,10,642,,269346,20937
2020-10-02,11,14730,44991,4639717,711804
2020-10-02,12,7106,28791,2649379,320634
2020-10-02,13,50,,48501,2617
